subject_id,object_code,object_name,replicate,màu.nâu.đỏ,độ.sánh,m_ngọt,m_cá.hồi,m_cá.ngừ,m_cá.luộc,m_cá.khô,m_tôm.khô,m_tanh,m_thịt,m_muối.biển,m_nhiệt.phơi.nắng,m_cũ,m_khắm.thối,m_gỗ,m_mắm.tôm,m_trà.xanh.khô,m_bóng.cao.su,h_cá.hồi,h_cá.ngừ,h_cá.luộc,h_thịt,h_khắm.thối,v_mặn,v_ngọt.đạm,v_ngọt.đường,v_umami,v_chua,v_đắng,cg_chát,Comment
21829,863,Hưng.Thịnh.CLT,1,5.5,4.5,2,1.5,2.5,3.5,1.5,0,1,1.5,2,3,1.5,0.5,2,0.5,0,0,1.5,1,2,2,0,5.5,4,2,2,1,0,0.5,Không
21829,142,Cá.Cơm.BĐ.HPT,1,6.5,5.5,3,5,3,3,1,0,0.5,2,2,1.5,1.5,0,2,0,0,0,1,2,1.5,1.5,0,5,2.5,4,3,0.5,0,1,Không
21829,614,Hưng.Thịnh.HPT,1,6,5,1,3,1,1.5,3,0.5,1,1,2,2.5,2,0.5,1,0,0,0.5,0.5,1.5,1,1,0,6,1.5,3,2,1.5,0,2,Không
21723,680,Thuận.Phát.40N,1,6.5,5,4,4,2.5,4,5,0,2.5,5,5,3.5,6.5,0.5,4,0,2.5,0,2.5,4.5,5,3,0,4.5,4,6.5,7.5,1.5,0,2.5,Không
21723,520,Nam.Ngư.core,1,3.5,4,5,6.5,1.5,5,2.5,0,4,5,5,2.5,2.5,0,0,0,0,0,3.5,7.5,5,4,0,6.5,8.5,7.5,6.5,1.5,0,0,Không
21723,818,Cá.Cơm.BĐ.CLT,1,6,6,4,5,2.5,5,3.5,0,0,5,5,5,6,0,0,0,5,0,2,5,5,5,0,5.5,7.5,6.5,6,3.5,2.5,2.5,Không
21723,863,Hưng.Thịnh.CLT,1,5,5,6,3,4,5,2.5,0,0,3.5,5,3.5,3.5,0,1.5,0,1,0,2.5,4.5,5.5,4,0,5.5,6.5,5.5,5.5,4,0,2,Không
21723,142,Cá.Cơm.BĐ.HPT,1,7,6.5,6,7.5,4,6,3.5,0,0,5,5,2.5,1.5,0,0,0,0,0,3.5,6.5,6,6,0,5,6.5,6,7.5,2,0,1.5,Không
21723,614,Hưng.Thịnh.HPT,1,5,6,5,5,2.5,5,1.5,0,0,4.5,5,5,6.5,0,2.5,0,3,0,2.5,5,6,6,0,5.5,7,8,6.5,1,1.5,2,Không
20934,680,Thuận.Phát.40N,1,6,3.5,2,0,2,2,3,0,0,0,4,3,3,0,1.5,0,0,0,3.5,1.5,2.5,0,0,5,3.5,5,5,0,0,0,"ngọt đường nhìu, lợ, mùi cũ"
20934,520,Nam.Ngư.core,1,4.5,3.5,3.5,7.5,2.5,2,1.5,0,0,0,3.5,1.5,0,0,0,0,0,0,2,6,1.5,1.5,0,5,5,4.5,4.5,2,0,0,mùi cá hồi trội
20934,818,Cá.Cơm.BĐ.CLT,1,6.5,4,2,0,1.5,2,3.5,0,1,0,3,3,1.5,0,2,0,0,0,1,0,2,0,0,5,5,3,4,0,0,0,"màu nâu đỏ nhiều, mùi thơm ít, cũ vừa"
20934,863,Hưng.Thịnh.CLT,1,6,3,2.5,0,1.5,0,3,0,1,0,3,3.5,3,0,3.5,0,0,0,1,0,1.5,0,0,6,4,2,5,0,1,1.5,"vị lợ, nhẫn"
20934,142,Cá.Cơm.BĐ.HPT,1,5.5,3.5,3,4,4,2,1,0,0,0,1.5,1.5,0,0,0,0,0,0,3,3.5,1,0,0,5,3,3,7,0,0,0,vị lợ nhiều
20934,614,Hưng.Thịnh.HPT,1,5,3,2,0,1.5,1.5,3,0,0,0,3.5,3.5,3.5,0,2.5,0,0,2,1,0,1.5,0,0,5,3.5,1.5,6,0,1,0,mùi cũ
