attribute,geometric_mean
màu.nâu.đỏ,0.7271201439265066
độ.sánh,0.6469300723559839
m_ngọt,0.5574966090800934
m_cá.hồi,0.4838439193289557
m_cá.ngừ,0.3685138655950444
m_cá.luộc,0.4767214852359779
m_cá.khô,0.4073021749615328
m_tôm.khô,0.0879385931154353
m_tanh,0.1145307118227128
m_thịt,0.3803290756191497
m_muối.biển,0.35887245308846694
m_nhiệt.phơi.nắng,0.4822998742735476
m_cũ,0.4571486747621201
m_khắm.thối,0.1166078628994901
m_gỗ,0.33333333333333337
m_mắm.tôm,0.08842471397269128
m_trà.xanh.khô,0.11490438561102645
m_bóng.cao.su,0.03817690394090426
h_cá.hồi,0.2830366396228563
h_cá.ngừ,0.43520488529090523
h_cá.luộc,0.510990323891863
h_thịt,0.4096319737391907
h_khắm.thối,0.04421235698634564
v_mặn,0.7290277645477444
v_ngọt.đạm,0.6032320356951286
v_ngọt.đường,0.6206328908341752
v_umami,0.5689134832646606
v_chua,0.27740716016405936
v_đắng,0.06334307917217433
cg_chát,0.19694163660956177
