object_code,object_name,màu.nâu.đỏ,độ.sánh,m_ngọt,m_cá.hồi,m_cá.ngừ,m_cá.luộc,m_cá.khô,m_tôm.khô,m_tanh,m_thịt,m_muối.biển,m_nhiệt.phơi.nắng,m_cũ,m_khắm.thối,m_gỗ,m_mắm.tôm,m_trà.xanh.khô,m_bóng.cao.su,h_cá.hồi,h_cá.ngừ,h_cá.luộc,h_thịt,h_khắm.thối,v_mặn,v_ngọt.đạm,v_ngọt.đường,v_umami,v_chua,v_đắng,cg_chát
142,Cá.Cơm.BĐ.HPT,6.519699820729334,4.972369499086653,3.5612629962230136,4.324717657727161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0735831371984568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.8380211902734884,2.498699519504924,0.0,0.0,5.202709342758114,3.32673897355556,3.8037720918236446,0.0,0.0,0.0,0.0
520,Nam.Ngư.core,3.0422885495271452,3.2813211073591826,3.6675291454670775,6.173800901898204,1.8958545096349084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.47356996309135,2.1789988993651126,1.8123384754550225,0.0,4.734104672080356,3.2473988879050473,3.350129482252541,2.934250340521706,2.2015608698340774,0.0,0.0
614,Hưng.Thịnh.HPT,5.313292845913053,3.9238470099463583,2.4155584963490733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.520222095690792,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8041367266894988,0.0,0.0,5.95455595476756,2.9082698929286948,2.5303622656031597,2.4769829257937017,0.0,0.0,0.0
680,Thuận.Phát.40N,4.430764932781209,3.6660975322098444,2.144684782771909,0.0,2.3575706934397527,2.1130993706533276,3.179666671569672,0.0,0.0,0.0,0.0,3.381978777126403,4.400985331363098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.490890574289135,0.0,0.0,4.349281570462326,2.9266076700329506,5.165918349229002,3.030096886999604,0.0,0.0,0.0
818,Cá.Cơm.BĐ.CLT,6.748295765450523,4.539745895419823,2.972983916240299,0.0,0.0,2.610239039113383,0.0,0.0,0.0,0.0,0.0,2.7096720344695355,2.4974631495895707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.662338377605736,0.0,0.0,5.385584947437375,4.083768073534064,3.4929360499382165,2.6660156872958343,0.0,0.0,0.0
863,Hưng.Thịnh.CLT,5.243190284319705,4.013145102188064,2.273069838844533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.307713175670106,0.0,0.0,5.8537676811576045,2.92349754281076,3.2984784791271498,2.632113347588063,0.0,0.0,0.0
